length, LastChild,  Children,  LastChildTD,  ChildrenTD
357729, 1518, 1518, 46641, 38485
345042, 1626, 1626, 44989, 34735
219543, 1452, 1456, 29344, 20024
407969, 1918, 1931, 54878, 43207
186098, 1219, 1219, 25052, 20416
256454, 1411, 1411, 33876, 26570
316724, 1523, 1529, 41606, 32142
134769, 1146, 1142, 17842, 14790
423607, 1774, 1771, 55267, 42028
199766, 1337, 1339, 26674, 20276
318066, 1603, 1603, 41532, 34689
189816, 1227, 1218, 25448, 19954
334297, 1478, 1471, 44553, 37848
369190, 1626, 1622, 48108, 38647
234210, 1511, 1509, 31008, 24692
436863, 1789, 1791, 61647, 51809
222245, 1442, 1444, 29461, 25442
420896, 1615, 1612, 54876, 45592
337393, 1517, 1516, 44351, 36964
313130, 1570, 1578, 40061, 30275
244633, 1401, 1399, 32869, 27301
239685, 1365, 1370, 32218, 24824
122304, 1142, 1137, 16501, 13049
394499, 1668, 1679, 53478, 43663
237893, 1550, 1550, 32170, 26816
303761, 1638, 1634, 40661, 33432
282458, 1581, 1587, 38431, 34529
229789, 1398, 1400, 30779, 24430
474748, 1928, 1910, 62147, 50256
334011, 1712, 1715, 43374, 35633
278001, 1502, 1497, 37236, 32562
357578, 1586, 1594, 46051, 37402
227298, 1367, 1366, 30513, 26287
328381, 1564, 1558, 41113, 32216
150774, 1343, 1333, 20660, 16037
756321, 2220, 2225, 97153, 82066
296463, 1501, 1502, 38313, 29827
251756, 1422, 1424, 33673, 26893
321179, 1579, 1584, 41377, 33743
164746, 1296, 1301, 22461, 18065
354066, 1646, 1646, 46354, 39278
392436, 1747, 1749, 50808, 39605
191117, 1330, 1328, 25777, 19061
462225, 1991, 1994, 59207, 48166
239536, 1418, 1419, 31559, 24689
271625, 1366, 1376, 36441, 28440
319237, 1648, 1639, 41943, 35752
351966, 1518, 1520, 45595, 36864
287988, 1451, 1440, 38580, 30157
225281, 1601, 1598, 30233, 22791
331978, 1580, 1579, 44540, 35984
239787, 1481, 1456, 31012, 25821
170067, 1333, 1343, 22295, 18165
333367, 1603, 1598, 44172, 33216
365058, 1572, 1576, 49010, 38441
370526, 1563, 1538, 48346, 37734
326980, 1542, 1546, 42525, 37326
348014, 1711, 1714, 45862, 34455
520686, 1864, 1853, 67904, 55010
258618, 1435, 1435, 35082, 29089
202714, 1308, 1306, 25693, 21069
203909, 1329, 1322, 26439, 21619
469129, 1718, 1712, 61959, 54648
501915, 2184, 2148, 65322, 55161
319816, 1632, 1633, 42055, 33702
271102, 1506, 1500, 35927, 27420
416134, 1695, 1687, 54993, 44185
422276, 1768, 1756, 57261, 42972
335521, 1600, 1603, 44149, 37267
290854, 1498, 1498, 37970, 29204
181179, 1276, 1275, 24161, 18610
377949, 1789, 1792, 48959, 39719
424673, 1743, 1744, 57041, 45611
699500, 2389, 2389, 92689, 71973
291670, 1494, 1492, 39051, 31234
336021, 1595, 1597, 42785, 35917
244884, 1432, 1431, 32957, 23989
378883, 1606, 1593, 49862, 42046
345246, 1738, 1724, 44908, 35669
447398, 1927, 1933, 58256, 48865
409738, 1701, 1696, 54719, 43438
257832, 1503, 1504, 34030, 25863
276137, 1425, 1426, 37589, 30955
508007, 1858, 1854, 65080, 50070
308699, 1706, 1704, 40826, 30711
185470, 1393, 1387, 24071, 17189
314631, 1597, 1598, 41591, 33466
363050, 1665, 1662, 48296, 37818
227607, 1284, 1280, 30366, 22722
226271, 1326, 1321, 30203, 24572
378303, 1840, 1831, 49398, 40831
382231, 1743, 1745, 50852, 39644
299663, 1518, 1514, 37803, 31917
392313, 1819, 1809, 51340, 40362
227006, 1415, 1410, 29257, 23712
168406, 1277, 1279, 22409, 17493
443705, 1888, 1889, 57452, 42908
268480, 1550, 1556, 36163, 27676
150242, 1297, 1294, 20141, 16742
991918, 2379, 2382, 130123, 102752
1264763, 3083, 3082, 160981, 131451
1022743, 2789, 2786, 134006, 104769
863983, 2305, 2310, 113273, 103639
507081, 2042, 2037, 65854, 49618
837126, 2430, 2417, 112566, 88948
858582, 2409, 2412, 112581, 90533
876265, 2569, 2547, 113554, 87789
533556, 1962, 1969, 67982, 55780
894974, 2625, 2614, 114225, 90042
802291, 2489, 2492, 100046, 84277
351780, 1646, 1639, 48277, 37011
662318, 2125, 2119, 85270, 75462
684332, 2316, 2312, 90368, 75927
684210, 2070, 2065, 90028, 71794
1026942, 2647, 2653, 134682, 107958
783664, 2359, 2360, 101831, 82816
145293, 1178, 1169, 19086, 15073
51126, 848, 850, 7078, 5374
89987, 977, 972, 12253, 10396
79162, 1038, 1034, 10907, 7364
222625, 1275, 1279, 29239, 23941
128676, 1114, 1116, 17194, 13230
85311, 955, 945, 11467, 9987
112561, 1042, 1040, 15200, 12878
147260, 1107, 1123, 19610, 15021
126665, 1095, 1090, 17156, 13745
80614, 990, 998, 11357, 8552
82515, 1009, 1003, 11461, 9454
127659, 1082, 1073, 17063, 13221
127033, 1041, 1047, 17788, 14386
114253, 1098, 1091, 15869, 11632
133151, 1049, 1035, 17821, 14915
85111, 969, 973, 11704, 9611
101438, 1003, 993, 13321, 10605
101620, 1070, 1066, 13618, 10544
132445, 1117, 1096, 17210, 13716
96183, 1044, 1042, 13243, 9907
100380, 1009, 1004, 13244, 9822
48099, 899, 899, 6976, 5483
99633, 1006, 992, 13055, 10481
155580, 1133, 1135, 20986, 16295
70856, 919, 920, 9567, 7890
120338, 1099, 1107, 15866, 12207
83358, 1002, 1003, 11360, 9061
109335, 1078, 1073, 14588, 10488
266381, 1399, 1394, 34347, 26576
67208, 879, 882, 9602, 8305
160902, 1136, 1139, 21622, 16429
126994, 1071, 1067, 17078, 14001
107094, 1040, 1030, 14560, 11389
140700, 1145, 1138, 19129, 14280
98104, 1035, 1040, 13261, 10724
98540, 1036, 1037, 13533, 12046
172865, 1127, 1133, 22703, 18618
54543, 885, 885, 7750, 6108
114699, 1077, 1071, 14720, 12640
167722, 1182, 1186, 22633, 16399
122769, 1112, 1122, 16090, 13075
76230, 933, 926, 10618, 8085
115247, 1074, 1072, 15382, 12019
106759, 1101, 1103, 14334, 11347
70478, 899, 897, 9817, 7320
120370, 1058, 1059, 16511, 13417
131060, 1141, 1144, 17462, 14150
183789, 1242, 1238, 24012, 18867
89774, 963, 959, 12134, 10046
74041, 919, 928, 10333, 8823
97426, 984, 989, 13317, 10951
89453, 942, 944, 12796, 10754
106583, 1092, 1085, 14674, 10491
144515, 1140, 1133, 18901, 13412
107037, 1034, 1027, 14074, 12727
60451, 894, 899, 8666, 6828
83901, 1012, 1011, 11113, 8734
146316, 1188, 1191, 19015, 14856
107007, 1128, 1119, 13939, 10843
177988, 1291, 1286, 24016, 17318
297792, 1523, 1497, 38721, 32843
78029, 979, 981, 10592, 8492
176058, 1170, 1169, 23797, 19800
112654, 1110, 1105, 15134, 12140
106649, 1056, 1059, 13815, 11007
87987, 1032, 1033, 12098, 8319
132386, 1196, 1189, 17658, 13857
118705, 1177, 1173, 15106, 11874
88675, 1024, 1008, 11672, 8964
67210, 903, 904, 9037, 6370
139322, 1107, 1100, 18749, 14441
107444, 1005, 1006, 14451, 11938
110610, 1082, 1086, 14945, 10318
79081, 987, 979, 10846, 7763
141184, 1170, 1173, 19058, 15304
129057, 1174, 1175, 17318, 13103
113272, 1113, 1113, 15086, 11648
247110, 1398, 1396, 32649, 26466
132035, 1050, 1054, 18088, 14370
91041, 964, 967, 12328, 10647
83810, 1004, 1002, 11255, 8912
96465, 1029, 1031, 13052, 9921
100885, 1044, 1046, 13532, 10898
133589, 1136, 1136, 17118, 13214
87008, 1018, 1015, 12210, 9427
151628, 1154, 1150, 20463, 15488
91779, 1044, 1045, 12543, 9730
84620, 904, 903, 11729, 9291
75893, 948, 942, 10358, 8358
171625, 1232, 1211, 22971, 18614
75132, 993, 996, 10187, 7313
50557, 876, 865, 6966, 5488
111482, 1023, 1025, 15518, 11509
138940, 1131, 1132, 18195, 14787
93617, 1016, 1004, 12760, 9342
63044, 949, 950, 8552, 7080
70776, 893, 896, 9747, 7808
147978, 1259, 1237, 20134, 15643
1768249, 6993, 6825, 81834, 81887
